Sport,Date,Time,School,Weekday,Time_dt,EventDate,season_start,season_end,start_min,end_min_raw,end_min
Golf,2024-08-05,TBD,Riverbend High School,Monday,,2024-08-05,2024-07-29,2024-10-15,,,
Golf,2024-08-07,TBD,Riverbend High School,Wednesday,,2024-08-07,2024-07-29,2024-10-15,,,
Golf,2024-08-14,4:00pm,Riverbend High School,Wednesday,16:00:00,2024-08-14,2024-07-29,2024-10-15,960.0,,1140.0
Field Hockey,2024-08-14,5:00pm,Riverbend High School,Wednesday,17:00:00,2024-08-14,2024-08-04,2024-11-10,1020.0,,1200.0
Golf,2024-08-15,4:00pm,Riverbend High School,Thursday,16:00:00,2024-08-15,2024-07-29,2024-10-15,960.0,,1140.0
Football,2024-08-15,6:00pm,Riverbend High School,Thursday,18:00:00,2024-08-15,2024-07-31,2024-12-15,1080.0,,1260.0
Field Hockey,2024-08-20,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-08-20,2024-08-04,2024-11-10,1020.0,,1200.0
Football,2024-08-20,6:00pm,Riverbend High School,Tuesday,18:00:00,2024-08-20,2024-07-31,2024-12-15,1080.0,,1260.0
Golf,2024-08-21,4:00pm,Riverbend High School,Wednesday,16:00:00,2024-08-21,2024-07-29,2024-10-15,960.0,,1140.0
Golf,2024-08-22,4:00pm,Riverbend High School,Thursday,16:00:00,2024-08-22,2024-07-29,2024-10-15,960.0,,1140.0
Football,2024-08-23,6:00pm,Riverbend High School,Friday,18:00:00,2024-08-23,2024-07-31,2024-12-15,1080.0,,1260.0
Volleyball,2024-08-26,5:00pm,Riverbend High School,Monday,17:00:00,2024-08-26,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-08-26,5:30pm,Riverbend High School,Monday,17:30:00,2024-08-26,2024-08-04,2024-11-10,1050.0,,1230.0
Field Hockey,2024-08-29,5:00pm,Riverbend High School,Thursday,17:00:00,2024-08-29,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-08-29,5:00pm,Riverbend High School,Thursday,17:00:00,2024-08-29,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-08-30,7:00pm,Riverbend High School,Friday,19:00:00,2024-08-30,2024-07-31,2024-12-15,1140.0,,1320.0
Football,2024-09-03,5:30pm,Riverbend High School,Tuesday,17:30:00,2024-09-03,2024-07-31,2024-12-15,1050.0,,1230.0
Field Hockey,2024-09-04,5:30pm,Riverbend High School,Wednesday,17:30:00,2024-09-04,2024-08-04,2024-11-10,1050.0,,1230.0
Volleyball,2024-09-04,5:30pm,Riverbend High School,Wednesday,17:30:00,2024-09-04,2024-08-04,2024-11-30,1050.0,,1230.0
Golf,2024-09-05,4:00pm,Riverbend High School,Thursday,16:00:00,2024-09-05,2024-07-29,2024-10-15,960.0,,1140.0
Field Hockey,2024-09-05,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-05,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-05,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-05,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-09-06,7:00pm,Riverbend High School,Friday,19:00:00,2024-09-06,2024-07-31,2024-12-15,1140.0,,1320.0
Volleyball,2024-09-07,TBD,Riverbend High School,Saturday,,2024-09-07,2024-08-04,2024-11-30,,,
Field Hockey,2024-09-09,5:30pm,Riverbend High School,Monday,17:30:00,2024-09-09,2024-08-04,2024-11-10,1050.0,,1230.0
Football,2024-09-09,6:00pm,Riverbend High School,Monday,18:00:00,2024-09-09,2024-07-31,2024-12-15,1080.0,,1260.0
Volleyball,2024-09-10,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-10,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-09-10,6:30pm,Riverbend High School,Tuesday,18:30:00,2024-09-10,2024-08-04,2024-11-10,1110.0,,1290.0
Golf,2024-09-11,3:15pm,Riverbend High School,Wednesday,15:15:00,2024-09-11,2024-07-29,2024-10-15,915.0,,1095.0
Field Hockey,2024-09-12,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-12,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-12,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-12,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-09-13,7:00pm,Riverbend High School,Friday,19:00:00,2024-09-13,2024-07-31,2024-12-15,1140.0,,1320.0
Cross Country,2024-09-14,4:30pm,Riverbend High School,Saturday,16:30:00,2024-09-14,2024-08-05,2024-11-16,990.0,,1170.0
Field Hockey,2024-09-17,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-17,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-17,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-17,2024-08-04,2024-11-30,1020.0,,1200.0
Golf,2024-09-18,3:45pm,Riverbend High School,Wednesday,15:45:00,2024-09-18,2024-07-29,2024-10-15,945.0,,1125.0
Football,2024-09-18,6:00pm,Riverbend High School,Wednesday,18:00:00,2024-09-18,2024-07-31,2024-12-15,1080.0,,1260.0
Volleyball,2024-09-19,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-19,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-09-19,6:00pm,Riverbend High School,Thursday,18:00:00,2024-09-19,2024-08-04,2024-11-10,1080.0,,1260.0
Cross Country,2024-09-20,4:00pm,Riverbend High School,Friday,16:00:00,2024-09-20,2024-08-05,2024-11-16,960.0,,1140.0
Field Hockey,2024-09-23,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-23,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-23,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-23,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-09-23,6:30pm,Riverbend High School,Monday,18:30:00,2024-09-23,2024-07-31,2024-12-15,1110.0,,1290.0
Field Hockey,2024-09-24,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-24,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-24,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-24,2024-08-04,2024-11-30,1020.0,,1200.0
Golf,2024-09-25,TBD,Riverbend High School,Wednesday,,2024-09-25,2024-07-29,2024-10-15,,,
Football,2024-09-27,7:00pm,Riverbend High School,Friday,19:00:00,2024-09-27,2024-07-31,2024-12-15,1140.0,,1320.0
Field Hockey,2024-09-30,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-30,2024-08-04,2024-11-10,1020.0,,1200.0
Football,2024-09-30,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-30,2024-07-31,2024-12-15,1020.0,,1200.0
Volleyball,2024-09-30,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-30,2024-08-04,2024-11-30,1020.0,,1200.0
Volleyball,2024-10-01,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-10-01,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-10-01,6:00pm,Riverbend High School,Tuesday,18:00:00,2024-10-01,2024-08-04,2024-11-10,1080.0,,1260.0
Golf,2024-10-02,TBD,Riverbend High School,Wednesday,,2024-10-02,2024-07-29,2024-10-15,,,
Football,2024-10-04,7:00pm,Riverbend High School,Friday,19:00:00,2024-10-04,2024-07-31,2024-12-15,1140.0,,1320.0
Field Hockey,2024-10-07,5:00pm,Riverbend High School,Monday,17:00:00,2024-10-07,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-10-07,5:00pm,Riverbend High School,Monday,17:00:00,2024-10-07,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-10-07,6:00pm,Riverbend High School,Monday,18:00:00,2024-10-07,2024-07-31,2024-12-15,1080.0,,1260.0
Field Hockey,2024-10-09,5:00pm,Riverbend High School,Wednesday,17:00:00,2024-10-09,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-10-09,5:00pm,Riverbend High School,Wednesday,17:00:00,2024-10-09,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-10-11,7:00pm,Riverbend High School,Friday,19:00:00,2024-10-11,2024-07-31,2024-12-15,1140.0,,1320.0
Football,2024-10-14,5:00pm,Riverbend High School,Monday,17:00:00,2024-10-14,2024-07-31,2024-12-15,1020.0,,1200.0
Volleyball,2024-10-15,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-10-15,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-10-15,6:30pm,Riverbend High School,Tuesday,18:30:00,2024-10-15,2024-08-04,2024-11-10,1110.0,,1290.0
Competition Cheer,2024-10-16,6:00pm,Riverbend High School,Wednesday,18:00:00,2024-10-16,2024-07-31,2024-11-10,1080.0,,1260.0
Field Hockey,2024-10-17,5:00pm,Riverbend High School,Thursday,17:00:00,2024-10-17,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-10-17,5:00pm,Riverbend High School,Thursday,17:00:00,2024-10-17,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-10-18,7:00pm,Riverbend High School,Friday,19:00:00,2024-10-18,2024-07-31,2024-12-15,1140.0,,1320.0
Football,2024-10-21,5:00pm,Riverbend High School,Monday,17:00:00,2024-10-21,2024-07-31,2024-12-15,1020.0,,1200.0
Field Hockey,2024-10-21,6:00pm,Riverbend High School,Monday,18:00:00,2024-10-21,2024-08-04,2024-11-10,1080.0,,1260.0
Field Hockey,2024-10-23,6:00pm,Riverbend High School,Wednesday,18:00:00,2024-10-23,2024-08-04,2024-11-10,1080.0,,1260.0
Volleyball,2024-10-24,6:00pm,Riverbend High School,Thursday,18:00:00,2024-10-24,2024-08-04,2024-11-30,1080.0,,1260.0
Field Hockey,2024-10-24,TBD,Riverbend High School,Thursday,,2024-10-24,2024-08-04,2024-11-10,,,
Football,2024-10-25,7:00pm,Riverbend High School,Friday,19:00:00,2024-10-25,2024-07-31,2024-12-15,1140.0,,1320.0
Football,2024-10-28,5:00pm,Riverbend High School,Monday,17:00:00,2024-10-28,2024-07-31,2024-12-15,1020.0,,1200.0
Cross Country,2024-10-30,TBD,Riverbend High School,Wednesday,,2024-10-30,2024-08-05,2024-11-16,,,
Volleyball,2024-10-31,6:00pm,Riverbend High School,Thursday,18:00:00,2024-10-31,2024-08-04,2024-11-30,1080.0,,1260.0
Football,2024-11-01,7:00pm,Riverbend High School,Friday,19:00:00,2024-11-01,2024-07-31,2024-12-15,1140.0,,1320.0
Football,2024-11-04,5:00pm,Riverbend High School,Monday,17:00:00,2024-11-04,2024-07-31,2024-12-15,1020.0,,1200.0
Field Hockey,2024-11-04,6:00pm,Riverbend High School,Monday,18:00:00,2024-11-04,2024-08-04,2024-11-10,1080.0,,1260.0
Volleyball,2024-11-04,TBD,Riverbend High School,Monday,,2024-11-04,2024-08-04,2024-11-30,,,
Cross Country,2024-11-06,2:30pm,Riverbend High School,Wednesday,14:30:00,2024-11-06,2024-08-05,2024-11-16,870.0,,1050.0
Field Hockey,2024-11-06,TBD,Riverbend High School,Wednesday,,2024-11-06,2024-08-04,2024-11-10,,,
Football,2024-11-08,7:00pm,Riverbend High School,Friday,19:00:00,2024-11-08,2024-07-31,2024-12-15,1140.0,,1320.0
Basketball,2024-11-19,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-11-19,2024-11-11,2025-03-30,1020.0,,1200.0
Basketball,2024-11-21,5:00pm,Riverbend High School,Thursday,17:00:00,2024-11-21,2024-11-11,2025-03-30,1020.0,,1200.0
Basketball,2024-11-22,6:00pm,Riverbend High School,Friday,18:00:00,2024-11-22,2024-11-11,2025-03-30,1080.0,,1260.0
Football,2024-11-22,7:00pm,Riverbend High School,Friday,19:00:00,2024-11-22,2024-07-31,2024-12-15,1140.0,,1320.0
Basketball,2024-11-25,5:00pm,Riverbend High School,Monday,17:00:00,2024-11-25,2024-11-11,2025-03-30,1020.0,,1200.0
Basketball,2024-12-03,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-12-03,2024-11-11,2025-03-30,1020.0,,1200.0
Basketball,2024-12-05,6:00pm,Riverbend High School,Thursday,18:00:00,2024-12-05,2024-11-11,2025-03-30,1080.0,,1260.0
Basketball,2024-12-06,5:00pm,Riverbend High School,Friday,17:00:00,2024-12-06,2024-11-11,2025-03-30,1020.0,,1200.0
Wrestling,2024-12-07,TBD,Riverbend High School,Saturday,,2024-12-07,2024-11-11,2025-02-22,,,
Basketball,2024-12-10,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-12-10,2024-11-11,2025-03-30,1020.0,,1200.0
Swim & Dive,2024-12-10,7:00pm,Riverbend High School,Tuesday,19:00:00,2024-12-10,2024-11-11,2025-02-22,1140.0,,1320.0
Indoor Track,2024-12-10,TBD,Riverbend High School,Tuesday,,2024-12-10,2024-11-11,2025-03-06,,,
Basketball,2024-12-11,5:00pm,Riverbend High School,Wednesday,17:00:00,2024-12-11,2024-11-11,2025-03-30,1020.0,,1200.0
Wrestling,2024-12-12,5:00pm,Riverbend High School,Thursday,17:00:00,2024-12-12,2024-11-11,2025-02-22,1020.0,,1200.0
Basketball,2024-12-13,5:00pm,Riverbend High School,Friday,17:00:00,2024-12-13,2024-11-11,2025-03-30,1020.0,,1200.0
Swim & Dive,2024-12-13,6:30pm,Riverbend High School,Friday,18:30:00,2024-12-13,2024-11-11,2025-02-22,1110.0,,1290.0
Indoor Track,2024-12-14,TBD,Riverbend High School,Saturday,,2024-12-14,2024-11-11,2025-03-06,,,
Basketball,2024-12-17,4:30pm,Riverbend High School,Tuesday,16:30:00,2024-12-17,2024-11-11,2025-03-30,990.0,,1170.0
Swim & Dive,2024-12-17,7:00pm,Riverbend High School,Tuesday,19:00:00,2024-12-17,2024-11-11,2025-02-22,1140.0,,1320.0
Indoor Track,2024-12-18,4:00pm,Riverbend High School,Wednesday,16:00:00,2024-12-18,2024-11-11,2025-03-06,960.0,,1140.0
Wrestling,2024-12-18,TBD,Riverbend High School,Wednesday,,2024-12-18,2024-11-11,2025-02-22,,,
Basketball,2024-12-19,4:30pm,Riverbend High School,Thursday,16:30:00,2024-12-19,2024-11-11,2025-03-30,990.0,,1170.0
Swim & Dive,2024-12-19,6:00pm,Riverbend High School,Thursday,18:00:00,2024-12-19,2024-11-11,2025-02-22,1080.0,,1260.0
Wrestling,2024-12-19,TBD,Riverbend High School,Thursday,,2024-12-19,2024-11-11,2025-02-22,,,
Indoor Track,2024-12-21,TBD,Riverbend High School,Saturday,,2024-12-21,2024-11-11,2025-03-06,,,
Wrestling,2024-12-21,TBD,Riverbend High School,Saturday,,2024-12-21,2024-11-11,2025-02-22,,,
Basketball,2024-12-23,4:00pm,Riverbend High School,Monday,16:00:00,2024-12-23,2024-11-11,2025-03-30,960.0,,1140.0
Wrestling,2024-12-23,TBD,Riverbend High School,Monday,,2024-12-23,2024-11-11,2025-02-22,,,
Wrestling,2024-12-27,TBD,Riverbend High School,Friday,,2024-12-27,2024-11-11,2025-02-22,,,
Indoor Track,2025-01-04,TBD,Riverbend High School,Saturday,,2025-01-04,2024-11-11,2025-03-06,,,
Wrestling,2025-01-04,TBD,Riverbend High School,Saturday,,2025-01-04,2024-11-11,2025-02-22,,,
Basketball,2025-01-06,5:45pm,Riverbend High School,Monday,17:45:00,2025-01-06,2024-11-11,2025-03-30,1065.0,,1245.0
Indoor Track,2025-01-11,TBD,Riverbend High School,Saturday,,2025-01-11,2024-11-11,2025-03-06,,,
Basketball,2025-01-14,4:30pm,Riverbend High School,Tuesday,16:30:00,2025-01-14,2024-11-11,2025-03-30,990.0,,1170.0
Wrestling,2025-01-15,5:00pm,Riverbend High School,Wednesday,17:00:00,2025-01-15,2024-11-11,2025-02-22,1020.0,,1200.0
Basketball,2025-01-16,4:30pm,Riverbend High School,Thursday,16:30:00,2025-01-16,2024-11-11,2025-03-30,990.0,,1170.0
Swim & Dive,2025-01-16,7:00pm,Riverbend High School,Thursday,19:00:00,2025-01-16,2024-11-11,2025-02-22,1140.0,,1320.0
Basketball,2025-01-17,4:30pm,Riverbend High School,Friday,16:30:00,2025-01-17,2024-11-11,2025-03-30,990.0,,1170.0
Indoor Track,2025-01-18,TBD,Riverbend High School,Saturday,,2025-01-18,2024-11-11,2025-03-06,,,
Indoor Track,2025-01-22,TBD,Riverbend High School,Wednesday,,2025-01-22,2024-11-11,2025-03-06,,,
Wrestling,2025-01-22,TBD,Riverbend High School,Wednesday,,2025-01-22,2024-11-11,2025-02-22,,,
Basketball,2025-01-23,4:30pm,Riverbend High School,Thursday,16:30:00,2025-01-23,2024-11-11,2025-03-30,990.0,,1170.0
Basketball,2025-01-24,4:30pm,Riverbend High School,Friday,16:30:00,2025-01-24,2024-11-11,2025-03-30,990.0,,1170.0
Swim & Dive,2025-01-24,6:30pm,Riverbend High School,Friday,18:30:00,2025-01-24,2024-11-11,2025-02-22,1110.0,,1290.0
Wrestling,2025-01-24,TBD,Riverbend High School,Friday,,2025-01-24,2024-11-11,2025-02-22,,,
Basketball,2025-01-28,4:30pm,Riverbend High School,Tuesday,16:30:00,2025-01-28,2024-11-11,2025-03-30,990.0,,1170.0
Indoor Track,2025-01-29,TBD,Riverbend High School,Wednesday,,2025-01-29,2024-11-11,2025-03-06,,,
Wrestling,2025-01-29,TBD,Riverbend High School,Wednesday,,2025-01-29,2024-11-11,2025-02-22,,,
Basketball,2025-01-31,4:30pm,Riverbend High School,Friday,16:30:00,2025-01-31,2024-11-11,2025-03-30,990.0,,1170.0
Swim & Dive,2025-01-31,7:00pm,Riverbend High School,Friday,19:00:00,2025-01-31,2024-11-11,2025-02-22,1140.0,,1320.0
Basketball,2025-02-03,5:30pm,Riverbend High School,Monday,17:30:00,2025-02-03,2024-11-11,2025-03-30,1050.0,,1230.0
Indoor Track,2025-02-04,4:00pm,Riverbend High School,Tuesday,16:00:00,2025-02-04,2024-11-11,2025-03-06,960.0,,1140.0
Basketball,2025-02-04,4:30pm,Riverbend High School,Tuesday,16:30:00,2025-02-04,2024-11-11,2025-03-30,990.0,,1170.0
Basketball,2025-02-06,4:30pm,Riverbend High School,Thursday,16:30:00,2025-02-06,2024-11-11,2025-03-30,990.0,,1170.0
Basketball,2025-02-10,4:30pm,Riverbend High School,Monday,16:30:00,2025-02-10,2024-11-11,2025-03-30,990.0,,1170.0
Basketball,2025-02-15,5:30pm,Riverbend High School,Saturday,17:30:00,2025-02-15,2024-11-11,2025-03-30,1050.0,,1230.0
Basketball,2025-02-17,5:00pm,Riverbend High School,Monday,17:00:00,2025-02-17,2024-11-11,2025-03-30,1020.0,,1200.0
Basketball,2025-02-18,6:00pm,Riverbend High School,Tuesday,18:00:00,2025-02-18,2024-11-11,2025-03-30,1080.0,,1260.0
Basketball,2025-02-21,TBD,Riverbend High School,Friday,,2025-02-21,2024-11-11,2025-03-30,,,
Wrestling,2025-02-21,TBD,Riverbend High School,Friday,,2025-02-21,2024-11-11,2025-02-22,,,
Basketball,2025-02-26,5:30pm,Riverbend High School,Wednesday,17:30:00,2025-02-26,2024-11-11,2025-03-30,1050.0,,1230.0
Basketball,2025-02-28,6:30pm,Riverbend High School,Friday,18:30:00,2025-02-28,2024-11-11,2025-03-30,1110.0,,1290.0
Indoor Track,2025-03-03,TBD,Riverbend High School,Monday,,2025-03-03,2024-11-11,2025-03-06,,,
Lacrosse,2025-03-04,4:45pm,Riverbend High School,Tuesday,16:45:00,2025-03-04,2025-03-01,2025-05-15,1005.0,,1185.0
Basketball,2025-03-04,6:30pm,Riverbend High School,Tuesday,18:30:00,2025-03-04,2024-11-11,2025-03-30,1110.0,,1290.0
Indoor Track,2025-03-04,TBD,Riverbend High School,Tuesday,,2025-03-04,2024-11-11,2025-03-06,,,
Tennis,2025-03-07,4:00pm,Riverbend High School,Friday,16:00:00,2025-03-07,2025-03-01,2025-05-15,960.0,,1140.0
Softball,2025-03-07,5:30pm,Riverbend High School,Friday,17:30:00,2025-03-07,2025-02-24,2025-06-14,1050.0,,1230.0
Lacrosse,2025-03-10,5:00pm,Riverbend High School,Monday,17:00:00,2025-03-10,2025-03-01,2025-05-15,1020.0,,1200.0
Soccer,2025-03-11,5:30pm,Riverbend High School,Tuesday,17:30:00,2025-03-11,2025-02-24,2025-06-14,1050.0,,1230.0
Softball,2025-03-11,5:30pm,Riverbend High School,Tuesday,17:30:00,2025-03-11,2025-02-24,2025-06-14,1050.0,,1230.0
Lacrosse,2025-03-12,5:00pm,Riverbend High School,Wednesday,17:00:00,2025-03-12,2025-03-01,2025-05-15,1020.0,,1200.0
Tennis,2025-03-13,4:00pm,Riverbend High School,Thursday,16:00:00,2025-03-13,2025-03-01,2025-05-15,960.0,,1140.0
Soccer,2025-03-13,5:30pm,Riverbend High School,Thursday,17:30:00,2025-03-13,2025-02-24,2025-06-14,1050.0,,1230.0
Baseball,2025-03-17,4:30pm,Riverbend High School,Monday,16:30:00,2025-03-17,2025-02-24,2025-06-14,990.0,,1170.0
Lacrosse,2025-03-17,6:00pm,Riverbend High School,Monday,18:00:00,2025-03-17,2025-03-01,2025-05-15,1080.0,,1260.0
Softball,2025-03-17,6:00pm,Riverbend High School,Monday,18:00:00,2025-03-17,2025-02-24,2025-06-14,1080.0,,1260.0
Tennis,2025-03-18,4:00pm,Riverbend High School,Tuesday,16:00:00,2025-03-18,2025-03-01,2025-05-15,960.0,,1140.0
Lacrosse,2025-03-18,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-03-18,2025-03-01,2025-05-15,1020.0,,1200.0
Softball,2025-03-18,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-03-18,2025-02-24,2025-06-14,1020.0,,1200.0
Soccer,2025-03-18,5:30pm,Riverbend High School,Tuesday,17:30:00,2025-03-18,2025-02-24,2025-06-14,1050.0,,1230.0
Lacrosse,2025-03-19,5:30pm,Riverbend High School,Wednesday,17:30:00,2025-03-19,2025-03-01,2025-05-15,1050.0,,1230.0
Baseball,2025-03-19,6:00pm,Riverbend High School,Wednesday,18:00:00,2025-03-19,2025-02-24,2025-06-14,1080.0,,1260.0
Softball,2025-03-20,4:30pm,Riverbend High School,Thursday,16:30:00,2025-03-20,2025-02-24,2025-06-14,990.0,,1170.0
Soccer,2025-03-20,6:30pm,Riverbend High School,Thursday,18:30:00,2025-03-20,2025-02-24,2025-06-14,1110.0,,1290.0
Lacrosse,2025-03-21,5:30pm,Riverbend High School,Friday,17:30:00,2025-03-21,2025-03-01,2025-05-15,1050.0,,1230.0
Softball,2025-03-24,5:30pm,Riverbend High School,Monday,17:30:00,2025-03-24,2025-02-24,2025-06-14,1050.0,,1230.0
Baseball,2025-03-24,6:30pm,Riverbend High School,Monday,18:30:00,2025-03-24,2025-02-24,2025-06-14,1110.0,,1290.0
Baseball,2025-03-25,6:00pm,Riverbend High School,Tuesday,18:00:00,2025-03-25,2025-02-24,2025-06-14,1080.0,,1260.0
Soccer,2025-03-25,6:00pm,Riverbend High School,Tuesday,18:00:00,2025-03-25,2025-02-24,2025-06-14,1080.0,,1260.0
Softball,2025-03-25,6:00pm,Riverbend High School,Tuesday,18:00:00,2025-03-25,2025-02-24,2025-06-14,1080.0,,1260.0
Baseball,2025-03-26,6:00pm,Riverbend High School,Wednesday,18:00:00,2025-03-26,2025-02-24,2025-06-14,1080.0,,1260.0
Tennis,2025-04-01,4:00pm,Riverbend High School,Tuesday,16:00:00,2025-04-01,2025-03-01,2025-05-15,960.0,,1140.0
Softball,2025-04-01,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-04-01,2025-02-24,2025-06-14,1020.0,,1200.0
Lacrosse,2025-04-01,5:30pm,Riverbend High School,Tuesday,17:30:00,2025-04-01,2025-03-01,2025-05-15,1050.0,,1230.0
Soccer,2025-04-01,5:30pm,Riverbend High School,Tuesday,17:30:00,2025-04-01,2025-02-24,2025-06-14,1050.0,,1230.0
Soccer,2025-04-02,5:00pm,Riverbend High School,Wednesday,17:00:00,2025-04-02,2025-02-24,2025-06-14,1020.0,,1200.0
Softball,2025-04-02,6:00pm,Riverbend High School,Wednesday,18:00:00,2025-04-02,2025-02-24,2025-06-14,1080.0,,1260.0
Tennis,2025-04-03,4:00pm,Riverbend High School,Thursday,16:00:00,2025-04-03,2025-03-01,2025-05-15,960.0,,1140.0
Lacrosse,2025-04-03,5:30pm,Riverbend High School,Thursday,17:30:00,2025-04-03,2025-03-01,2025-05-15,1050.0,,1230.0
Baseball,2025-04-04,5:00pm,Riverbend High School,Friday,17:00:00,2025-04-04,2025-02-24,2025-06-14,1020.0,,1200.0
Softball,2025-04-04,5:00pm,Riverbend High School,Friday,17:00:00,2025-04-04,2025-02-24,2025-06-14,1020.0,,1200.0
Soccer,2025-04-04,5:30pm,Riverbend High School,Friday,17:30:00,2025-04-04,2025-02-24,2025-06-14,1050.0,,1230.0
Lacrosse,2025-04-07,5:30pm,Riverbend High School,Monday,17:30:00,2025-04-07,2025-03-01,2025-05-15,1050.0,,1230.0
Tennis,2025-04-08,4:00pm,Riverbend High School,Tuesday,16:00:00,2025-04-08,2025-03-01,2025-05-15,960.0,,1140.0
Soccer,2025-04-08,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-04-08,2025-02-24,2025-06-14,1020.0,,1200.0
Baseball,2025-04-08,6:00pm,Riverbend High School,Tuesday,18:00:00,2025-04-08,2025-02-24,2025-06-14,1080.0,,1260.0
Softball,2025-04-08,6:00pm,Riverbend High School,Tuesday,18:00:00,2025-04-08,2025-02-24,2025-06-14,1080.0,,1260.0
Outdoor Track,2025-04-09,4:00pm,Riverbend High School,Wednesday,16:00:00,2025-04-09,2025-03-01,2025-05-15,960.0,,1140.0
Softball,2025-04-09,5:00pm,Riverbend High School,Wednesday,17:00:00,2025-04-09,2025-02-24,2025-06-14,1020.0,,1200.0
Lacrosse,2025-04-09,5:30pm,Riverbend High School,Wednesday,17:30:00,2025-04-09,2025-03-01,2025-05-15,1050.0,,1230.0
Tennis,2025-04-10,4:00pm,Riverbend High School,Thursday,16:00:00,2025-04-10,2025-03-01,2025-05-15,960.0,,1140.0
Lacrosse,2025-04-10,5:30pm,Riverbend High School,Thursday,17:30:00,2025-04-10,2025-03-01,2025-05-15,1050.0,,1230.0
Soccer,2025-04-11,5:30pm,Riverbend High School,Friday,17:30:00,2025-04-11,2025-02-24,2025-06-14,1050.0,,1230.0
Baseball,2025-04-14,5:00pm,Riverbend High School,Monday,17:00:00,2025-04-14,2025-02-24,2025-06-14,1020.0,,1200.0
Softball,2025-04-14,5:00pm,Riverbend High School,Monday,17:00:00,2025-04-14,2025-02-24,2025-06-14,1020.0,,1200.0
Lacrosse,2025-04-14,5:30pm,Riverbend High School,Monday,17:30:00,2025-04-14,2025-03-01,2025-05-15,1050.0,,1230.0
Tennis,2025-04-15,4:00pm,Riverbend High School,Tuesday,16:00:00,2025-04-15,2025-03-01,2025-05-15,960.0,,1140.0
Baseball,2025-04-15,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-04-15,2025-02-24,2025-06-14,1020.0,,1200.0
Soccer,2025-04-15,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-04-15,2025-02-24,2025-06-14,1020.0,,1200.0
Softball,2025-04-15,5:00pm,Riverbend High School,Tuesday,17:00:00,2025-04-15,2025-02-24,2025-06-14,1020.0,,1200.0
Outdoor Track,2025-04-16,4:00pm,Riverbend High School,Wednesday,16:00:00,2025-04-16,2025-03-01,2025-05-15,960.0,,1140.0
Soccer,2025-04-16,7:00pm,Riverbend High School,Wednesday,19:00:00,2025-04-16,2025-02-24,2025-06-14,1140.0,,1320.0
Tennis,2025-04-17,4:00pm,Riverbend High School,Thursday,16:00:00,2025-04-17,2025-03-01,2025-05-15,960.0,,1140.0
